schema_version,run_id,timestamp,git_sha,git_dirty,gpu_name,gpu_count,device_index,sm_count,l2_bytes,total_memory,driver_version,cuda_version,torch_version,triton_version,env_name,env_version,host_cpu,python_version,allow_tf32,allow_bf16_reduced_reduction,allow_fp16_reduced_reduction,model,hidden_size,intermediate_size,num_experts,top_k,num_tokens,rows,dtype,routing_kind,routing_param,trace_id,seed,pipeline,impl,scope,covers,cuda_graph_safe,load_num_experts,load_total_rows,load_active_experts,load_empty_experts,load_max_rows,load_min_rows,load_mean_rows,load_max_over_mean,load_cv,load_entropy_norm,load_gini,load_top1_share,load_tile_eff_bm64,load_tile_eff_bm128,l2_flush,flush_mb,flush_mode,cuda_graph,capture_status,graph_skip_reason,routing_fixed_across_iters,warmup,iters,trials,ms_p50,ms_p90,ms_min,ms_std,jitter_p90_over_p50,flops,compulsory_bytes,tflops,compulsory_gbps,arith_intensity_compulsory,achieved_bw_gbps,bw_ceiling_pattern,achieved_peak_tflops,pct_of_achieved_tflops,implied_traffic_ratio,input_init,input_scale,trace_sha,correctness_passed,max_abs_err,rel_err,tol_rel_max,tol_calibrated,oracle,sm_clock_start_mhz,sm_clock_end_mhz,temp_start_c,temp_end_c,clock_drift_pct,throttled,notes
3,3ec1d822ea9b,2026-08-28T01:14:10,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,uniform,0.0,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,147,114,128.0,1.1484375,0.08341467384399462,0.9983348459125087,0.046630859375,0.1435546875,0.8,0.6666666666666666,True,256,read,False,n/a,,True,25,171,3,1.1635839939117432,1.1828479766845703,1.0113919973373413,0.04173964364467586,1.0165557302898824,360829681664.0,2826969088,310.10196389085826,2429.5359018271465,127.6383541637085,4376.974307768541,triad,712.3551394589422,43.531933261040436,1.8015680708718125,fan_in,1.0,,True,0.014153242111206055,0.004703752645826197,0.03126095134236674,False,golden_fp32,1980,1545,42,55,21.96969696969697,True,
3,3ec1d822ea9b,2026-08-28T01:14:10,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,uniform,0.0,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,147,114,128.0,1.1484375,0.08341467384399462,0.9983348459125087,0.046630859375,0.1435546875,0.8,0.6666666666666666,False,0,read,False,n/a,,True,25,166,3,1.175823986530304,1.3677760362625122,1.0579839944839478,0.09029226025893423,1.1632489657730427,360829681664.0,2826969088,306.87389081826706,2404.2451254477296,127.6383541637085,4376.974307768541,triad,712.3551394589422,43.07877824133453,1.820519156487191,fan_in,1.0,,True,0.014153242111206055,0.004703752645826197,0.03126095134236674,False,golden_fp32,1545,1560,55,55,-0.9708737864077669,False,
3,3ec1d822ea9b,2026-08-28T01:14:10,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,uniform,0.0,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,147,114,128.0,1.1484375,0.08341467384399462,0.9983348459125087,0.046630859375,0.1435546875,0.8,0.6666666666666666,True,0,,True,skipped,"launch overhead is 0.77% of the 0.646 ms roofline minimum, below the 1.0% threshold",True,0,0,0,0.0,0.0,0.0,0.0,0.0,360829681664.0,2826969088,0.0,0.0,127.6383541637085,0.0,,0.0,0.0,0.0,fan_in,1.0,,True,0.014153242111206055,0.004703752645826197,0.03126095134236674,False,golden_fp32,0,0,0,0,0.0,False,graph timing skipped by cost policy
3,3ec1d822ea9b,2026-08-28T01:14:10,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,uniform,0.0,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,147,114,128.0,1.1484375,0.08341467384399462,0.9983348459125087,0.046630859375,0.1435546875,0.8,0.6666666666666666,False,0,,True,skipped,"launch overhead is 0.77% of the 0.646 ms roofline minimum, below the 1.0% threshold",True,0,0,0,0.0,0.0,0.0,0.0,0.0,360829681664.0,2826969088,0.0,0.0,127.6383541637085,0.0,,0.0,0.0,0.0,fan_in,1.0,,True,0.014153242111206055,0.004703752645826197,0.03126095134236674,False,golden_fp32,0,0,0,0,0.0,False,graph timing skipped by cost policy
3,3ec1d822ea9b,2026-08-28T01:14:12,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,zipf,0.6,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,248,81,128.0,1.9375,0.3885688070000441,0.9684717016450944,0.187255859375,0.2421875,0.8421052631578947,0.8,True,256,read,False,n/a,,True,25,182,3,1.0460959672927856,1.0870399475097656,0.9694399833679199,0.025506901848997076,1.0391397935726105,360829681664.0,2826969088,344.9298084933822,2702.3993748068583,127.6383541637085,4376.974307768541,triad,712.3551394589422,48.42104582208364,1.6196622707113248,fan_in,1.0,,True,0.01622605323791504,0.0060284266220180845,0.03126095134236674,False,golden_fp32,1545,1515,57,58,1.9417475728155338,False,
3,3ec1d822ea9b,2026-08-28T01:14:12,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,zipf,0.6,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,248,81,128.0,1.9375,0.3885688070000441,0.9684717016450944,0.187255859375,0.2421875,0.8421052631578947,0.8,False,0,read,False,n/a,,True,25,163,3,1.0860480070114136,1.2308160066604614,1.0442880392074585,0.06802141776259532,1.133297974596372,360829681664.0,2826969088,332.2410053096373,2602.987225011583,127.6383541637085,4376.974307768541,triad,712.3551394589422,46.63979901401225,1.6815197038660317,fan_in,1.0,,True,0.01622605323791504,0.0060284266220180845,0.03126095134236674,False,golden_fp32,1515,1530,58,57,-0.9900990099009901,False,
3,3ec1d822ea9b,2026-08-28T01:14:12,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,zipf,0.6,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,248,81,128.0,1.9375,0.3885688070000441,0.9684717016450944,0.187255859375,0.2421875,0.8421052631578947,0.8,True,0,,True,skipped,"launch overhead is 0.77% of the 0.646 ms roofline minimum, below the 1.0% threshold",True,0,0,0,0.0,0.0,0.0,0.0,0.0,360829681664.0,2826969088,0.0,0.0,127.6383541637085,0.0,,0.0,0.0,0.0,fan_in,1.0,,True,0.01622605323791504,0.0060284266220180845,0.03126095134236674,False,golden_fp32,0,0,0,0,0.0,False,graph timing skipped by cost policy
3,3ec1d822ea9b,2026-08-28T01:14:12,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,zipf,0.6,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,248,81,128.0,1.9375,0.3885688070000441,0.9684717016450944,0.187255859375,0.2421875,0.8421052631578947,0.8,False,0,,True,skipped,"launch overhead is 0.77% of the 0.646 ms roofline minimum, below the 1.0% threshold",True,0,0,0,0.0,0.0,0.0,0.0,0.0,360829681664.0,2826969088,0.0,0.0,127.6383541637085,0.0,,0.0,0.0,0.0,fan_in,1.0,,True,0.01622605323791504,0.0060284266220180845,0.03126095134236674,False,golden_fp32,0,0,0,0,0.0,False,graph timing skipped by cost policy
3,3ec1d822ea9b,2026-08-28T01:14:13,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,zipf,1.2,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,369,49,128.0,2.8828125,0.7919578685921367,0.8776704677922221,0.380126953125,0.3603515625,0.8421052631578947,0.7272727272727273,True,256,read,False,n/a,,True,25,175,3,1.1143360137939453,1.1874560117721558,1.0108799934387207,0.0450204290059468,1.0656175489915838,360829681664.0,2826969088,323.8068923533166,2536.909022957183,127.6383541637085,4376.974307768541,triad,712.3551394589422,45.455823144514525,1.7253178053135154,fan_in,1.0,,True,0.015342950820922852,0.005076112502233267,0.03126095134236674,False,golden_fp32,1545,1425,57,59,7.766990291262135,True,
3,3ec1d822ea9b,2026-08-28T01:14:13,c07c41ecdbbab3bdf6edcbc8a6680b3eacb75de4,False,NVIDIA H200,1,0,132,62914560,150109880320,580.159.04,13.0,2.13.0+cu130,3.7.1,vllm,0.27.1,x86_64,3.12.3,False,True,True,mixtral-8x7b,4096,14336,8,2,512,1024,bf16,zipf,1.2,,0,ref_router -> vllm_fused_experts,vllm_fused_experts,span,permute+up_gemm+act+down_gemm+unpermute,False,8,1024,8,0,369,49,128.0,2.8828125,0.7919578685921367,0.8776704677922221,0.380126953125,0.3603515625,0.8421052631578947,0.7272727272727273,False,0,read,False,n/a,,True,25,159,3,1.1321920156478882,1.1605440378189087,1.1066559553146362,0.0195192186764175,1.0250417082784287,360829681664.0,2826969088,318.700076203521,2496.89897908553,127.6383541637085,4376.974307768541,triad,712.3551394589422,44.73893126475995,1.7529641144599188,fan_in,1.0,,True,0.015342950820922852,0.005076112502233267,0.03126095134236674,False,golden_fp32,1425,1545,59,60,-8.421052631578947,False,
