arm	status	seconds	log
nsys_importer_hunt	PASS	1	/workspace/session/20260901T214218Z/logs/as_nsys_importer_hunt.log
qwen2_g1	PASS	170	/workspace/session/20260901T214218Z/logs/as_qwen2_g1.log
qwen2_g8	PASS	167	/workspace/session/20260901T214218Z/logs/as_qwen2_g8.log
qwen2_g16	PASS	165	/workspace/session/20260901T214218Z/logs/as_qwen2_g16.log
qwen2_g64	PASS	165	/workspace/session/20260901T214218Z/logs/as_qwen2_g64.log
mixtral_g1	PASS	127	/workspace/session/20260901T214218Z/logs/as_mixtral_g1.log
mixtral_g8	PASS	118	/workspace/session/20260901T214218Z/logs/as_mixtral_g8.log
mixtral_g16	PASS	116	/workspace/session/20260901T214218Z/logs/as_mixtral_g16.log
mixtral_g64	PASS	119	/workspace/session/20260901T214218Z/logs/as_mixtral_g64.log
v2lite_g1	EXIT1	4	/workspace/session/20260901T214218Z/logs/as_v2lite_g1.log
v2lite_g16	EXIT1	3	/workspace/session/20260901T214218Z/logs/as_v2lite_g16.log
qwen2_bn256	PASS	114	/workspace/session/20260901T214218Z/logs/as_qwen2_bn256.log
mixtral_bn256	PASS	97	/workspace/session/20260901T214218Z/logs/as_mixtral_bn256.log
