arm	status	seconds	log
calibrate	PASS	23	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_calibrate.log
v2lite_g1	EXIT1	3	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_v2lite_g1.log
qwen2_g1	PASS	164	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_qwen2_g1.log
mixtral_g1	PASS	134	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_mixtral_g1.log
qwen2_g8	PASS	157	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_qwen2_g8.log
qwen2_g16	PASS	155	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_qwen2_g16.log
qwen2_g64	PASS	158	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_qwen2_g64.log
mixtral_g16	PASS	117	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_mixtral_g16.log
qwen2_bn256	PASS	185	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_qwen2_bn256.log
ptx_deepseek-v3_T16	PASS	21	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_ptx_deepseek-v3_T16.log
ptx_deepseek-v3_T256	PASS	20	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_ptx_deepseek-v3_T256.log
ptx_mixtral-8x7b_T256	PASS	22	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_ptx_mixtral-8x7b_T256.log
ptx_tarball	PASS	0	/workspace/session/20260901T214218Z/logs/cc_nvidia_h200_ptx_tarball.log
