arm	status	seconds	log
calibrate	PASS	38	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_calibrate.log
v2lite_g1	EXIT1	32	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_v2lite_g1.log
qwen2_g1	PASS	471	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_qwen2_g1.log
mixtral_g1	PASS	327	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_mixtral_g1.log
qwen2_g8	PASS	359	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_qwen2_g8.log
qwen2_g16	PASS	421	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_qwen2_g16.log
qwen2_g64	PASS	340	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_qwen2_g64.log
mixtral_g16	PASS	448	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_mixtral_g16.log
qwen2_bn256	PASS	1572	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_qwen2_bn256.log
ptx_deepseek-v3_T16	PASS	372	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_ptx_deepseek-v3_T16.log
ptx_deepseek-v3_T256	PASS	113	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_ptx_deepseek-v3_T256.log
ptx_mixtral-8x7b_T256	PASS	110	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_ptx_mixtral-8x7b_T256.log
ptx_tarball	PASS	0	/workspace/session/20260902T012557Z/logs/cc_nvidia_a100_sxm4_80gb_ptx_tarball.log
