card,roof_tflops,roof_source,roof_clock_mhz,block_m,tokens,rows_per_expert,tiles,regime,tile_eff,reps,ms_p50,ms_spread_rel,useful_tflops,roof_fraction,sm_clock_mhz,throttled_reps,retained,excluded_why,instrument,warmup_ms,iters,trials,l2_flush,clock_level_ok,clock_drift_ok,clock_level_side,boosted_reps,roof_fraction_at_clock
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,256,1024,256,1,onset,1.000000,1,2.002576,,360.3132,0.539001,1680,2,True,,queue-deep/l2-flush/clock-under-load/v3,337.31056094169617,188,3,True,False,True,high,1,0.476438
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,256,2048,512,2,multi-tile,1.000000,3,3.925040,0.004744,367.6673,0.550002,1665,0,True,,queue-deep/l2-flush/clock-under-load/v3,334.45187067985535,100,3,True,False,True,high,3,0.490542
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,256,4096,1024,4,multi-tile,1.000000,3,7.825568,0.001994,368.8190,0.551725,1650,0,True,,queue-deep/l2-flush/clock-under-load/v3,332.1145887374878,50,3,True,False,True,high,3,0.496552
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,256,8192,2048,8,multi-tile,1.000000,3,15.723424,0.004565,367.1233,0.549188,1635,0,True,,queue-deep/l2-flush/clock-under-load/v3,323.13967990875244,25,3,True,False,True,high,3,0.498804
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,256,16384,4096,16,multi-tile,1.000000,3,32.290865,0.004736,357.5275,0.534833,1665,0,True,,queue-deep/l2-flush/clock-under-load/v3,349.79408073425293,12,3,True,False,True,high,3,0.477014
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,128,32,1,pre-onset,0.250000,1,0.948464,,95.0951,0.142255,1785,2,True,,queue-deep/l2-flush/clock-under-load/v3,340.98185616731644,418,3,True,False,True,high,1,0.118347
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,256,64,1,pre-onset,0.500000,3,1.066912,0.011487,169.0755,0.252924,1590,0,True,,queue-deep/l2-flush/clock-under-load/v3,340.4463976621628,361,3,True,False,True,high,3,0.236221
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,512,128,1,onset,1.000000,1,1.131008,,318.9873,0.477180,1425,2,True,,queue-deep/l2-flush/clock-under-load/v3,336.77657520771027,353,3,True,True,True,,0,0.497272
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,1024,256,2,multi-tile,1.000000,3,2.200752,0.003984,327.8672,0.490464,1402,3,False,"every one of 3 repeats was excluded: 0 drifted more than 5% across their own trials, 3 ran below 95% of the clock the roof was measured at",queue-deep/l2-flush/clock-under-load/v3,329.3349437713623,183,3,True,False,True,low,0,0.519315
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,2048,512,4,multi-tile,1.000000,3,4.348192,0.000436,331.8871,0.496477,1395,3,False,"every one of 3 repeats was excluded: 0 drifted more than 5% across their own trials, 3 ran below 95% of the clock the roof was measured at",queue-deep/l2-flush/clock-under-load/v3,342.48323130607605,91,3,True,False,True,low,0,0.528508
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,4096,1024,8,multi-tile,1.000000,3,8.655488,0.003781,333.4553,0.498823,1395,3,False,"every one of 3 repeats was excluded: 0 drifted more than 5% across their own trials, 3 ran below 95% of the clock the roof was measured at",queue-deep/l2-flush/clock-under-load/v3,324.25846576690674,46,3,True,False,True,low,0,0.531005
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,8192,2048,16,multi-tile,1.000000,3,17.500160,0.002135,329.8505,0.493431,1395,3,False,"every one of 3 repeats was excluded: 0 drifted more than 5% across their own trials, 3 ran below 95% of the clock the roof was measured at",queue-deep/l2-flush/clock-under-load/v3,322.17324924468994,22,3,True,False,True,low,0,0.525265
nvidia_h200,668.4839,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s; calibrated 2026-09-09 at 981a42f6",1485,128,16384,4096,32,multi-tile,1.000000,2,36.497856,0.000122,316.3164,0.473185,1425,1,True,,queue-deep/l2-flush/clock-under-load/v3,358.45989990234375,10,3,True,True,True,,0,0.493108
