block_n,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,l2_flush,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,host_bound,clock_level_side,prov_provenance_version,prov_git_sha,prov_git_dirty,prov_git_dirty_files,prov_utc,prov_hostname,prov_gpu_name,prov_driver_version,prov_cuda_version,prov_python,prov_torch,prov_triton,prov_vllm,prov_sglang,prov_instrument,prov_ridge,prov_ridge_source,prov_bandwidth,prov_bandwidth_source,prov_warmup_ms,prov_iters,prov_target_ms,prov_missing
32,256,1,256,1024,1,2.9553439617156982,2.788288116455078,0.19745407786977434,136,ok,,queue-deep/l2-flush/clock-under-load/v3,340.01465606689453,3,True,1755.0,False,False,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,2,512,2048,1,5.970416069030762,5.727807998657227,0.1278246129110701,64,ok,,queue-deep/l2-flush/clock-under-load/v3,332.2893109321594,3,True,1710.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,3,768,3072,1,8.782464027404785,8.602208137512207,0.25714274110988655,45,ok,,queue-deep/l2-flush/clock-under-load/v3,320.2169942855835,3,True,1755.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,4,1024,4096,1,11.55844783782959,11.252384185791016,0.3975722057938805,34,ok,,queue-deep/l2-flush/clock-under-load/v3,334.46636962890625,3,True,1755.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,1,256,1024,2,3.0815041065216064,2.974720001220703,0.03818004331899,124,ok,,queue-deep/l2-flush/clock-under-load/v3,331.79942297935486,3,True,1680.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,2,512,2048,2,5.92902398109436,5.805856227874756,0.1094255108015719,66,ok,,queue-deep/l2-flush/clock-under-load/v3,337.41968059539795,3,True,1725.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,3,768,3072,2,8.78828763961792,8.659296035766602,0.17472377143210133,44,ok,,queue-deep/l2-flush/clock-under-load/v3,324.97775745391846,3,True,1740.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,4,1024,4096,2,11.54307222366333,11.322336196899414,0.30633023183048763,34,ok,,queue-deep/l2-flush/clock-under-load/v3,331.4046401977539,3,True,1755.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,1,256,1024,3,3.0569759607315063,3.0245440006256104,0.04489999070121216,122,ok,,queue-deep/l2-flush/clock-under-load/v3,331.323326587677,3,True,1695.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,2,512,2048,3,5.9200639724731445,5.753791809082031,0.13307159325789936,67,ok,,queue-deep/l2-flush/clock-under-load/v3,334.78854179382324,3,True,1725.0,False,True,False,high,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T16:53:15+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",4374.549151491332,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
