run_id,utc,gpu_name,lookup_gpu,torch_version,vllm_version,vllm_tag,model,num_experts,top_k,num_tokens,rows_per_expert,dtype,arm,routing,seed,config_origin,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,observed_config,override_verified,weight_torch_dtype,quant_config_kind,correctness_rel_err,correctness_budget,ms_median,ms_mean,ms_stdev,ms_min,n_samples,sm_clock_start_mhz,sm_clock_end_mhz,instrument,warmup_ms,iters,trials,sm_clock_load_mhz,clock_level_ok,clock_level_side,clock_drift_ok,l2_flush,host_bound,prov_provenance_version,prov_git_sha,prov_git_dirty,prov_git_dirty_files,prov_utc,prov_hostname,prov_gpu_name,prov_driver_version,prov_cuda_version,prov_python,prov_torch,prov_triton,prov_vllm,prov_sglang,prov_instrument,prov_ridge,prov_ridge_source,prov_bandwidth,prov_bandwidth_source,prov_warmup_ms,prov_iters,prov_target_ms,prov_missing,error
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:38Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,32,8.0000,bf16,native,uniform,0,observed,,,,,,,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 16, ""BLOCK_SIZE_N"": 128, ""GROUP_SIZE_M"": 16, ""num_stages"": 3, ""num_warps"": 8}",,torch.bfloat16,none,5.4112e-03,3.1261e-02,,,,,0,1980,1860,,,0,0,,,,,,,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,"OutOfResources: out of resource: shared memory, Required: 409600, Hardware limit: 232448. Reducing block sizes or `num_stages` may help."
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:38Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,32,8.0000,fp8_e4m3,native,uniform,0,observed,,,,,,,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 256, ""GROUP_SIZE_M"": 32, ""num_stages"": 5, ""num_warps"": 4}",,torch.float8_e4m3fn,FusedMoEQuantConfig,4.6592e-02,5.0001e-01,0.392192,0.392277,0.000218,0.392064,3,1980,1860,queue-deep/l2-flush/clock-under-load/v3,334.3,506,3,1965,0,high,1,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:38Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,32,8.0000,bf16,cfg_bf16,uniform,0,forced,16,128,128,16,8,3,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 16, ""BLOCK_SIZE_N"": 128, ""GROUP_SIZE_M"": 16, ""num_stages"": 3, ""num_warps"": 8}",1,torch.bfloat16,none,,,0.692320,0.692272,0.000218,0.691984,3,1980,1860,queue-deep/l2-flush/clock-under-load/v3,334.3,286,3,1965,0,high,1,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:38Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,32,8.0000,fp8_e4m3,cfg_bf16,uniform,0,forced,16,128,128,16,8,3,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 16, ""BLOCK_SIZE_N"": 128, ""GROUP_SIZE_M"": 16, ""num_stages"": 3, ""num_warps"": 8}",1,torch.float8_e4m3fn,FusedMoEQuantConfig,,,0.388800,0.388800,0.000026,0.388768,3,1980,1860,queue-deep/l2-flush/clock-under-load/v3,336.4,511,3,1980,0,high,1,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:38Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,32,8.0000,bf16,cfg_fp8,uniform,0,forced,64,256,128,32,4,5,,,torch.bfloat16,none,,,,,,,0,1980,1860,,,0,0,,,,,,,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,"OutOfResources: out of resource: shared memory, Required: 409600, Hardware limit: 232448. Reducing block sizes or `num_stages` may help."
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:38Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,32,8.0000,fp8_e4m3,cfg_fp8,uniform,0,forced,64,256,128,32,4,5,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 256, ""GROUP_SIZE_M"": 32, ""num_stages"": 5, ""num_warps"": 4}",1,torch.float8_e4m3fn,FusedMoEQuantConfig,,,0.394288,0.394117,0.000324,0.393664,3,1980,1860,queue-deep/l2-flush/clock-under-load/v3,333.4,506,3,1965,0,high,0,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:56Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,64,16.0000,bf16,native,uniform,0,observed,,,,,,,,,torch.bfloat16,none,,,,,,,0,1980,1890,,,0,0,,,,,,,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,"OutOfResources: out of resource: shared memory, Required: 409600, Hardware limit: 232448. Reducing block sizes or `num_stages` may help."
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:56Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,64,16.0000,fp8_e4m3,native,uniform,0,observed,,,,,,,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 64, ""BLOCK_SIZE_N"": 256, ""GROUP_SIZE_M"": 32, ""num_stages"": 5, ""num_warps"": 4}",,torch.float8_e4m3fn,FusedMoEQuantConfig,,,0.399424,0.399339,0.000193,0.399072,3,1980,1890,queue-deep/l2-flush/clock-under-load/v3,334.0,498,3,1950,0,high,0,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:56Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,64,16.0000,bf16,cfg_bf16,uniform,0,forced,32,128,128,64,4,3,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 32, ""BLOCK_SIZE_N"": 128, ""GROUP_SIZE_M"": 64, ""num_stages"": 3, ""num_warps"": 4}",1,torch.bfloat16,none,,,0.676272,0.676411,0.000404,0.676000,3,1980,1890,queue-deep/l2-flush/clock-under-load/v3,338.2,293,3,1740,0,high,0,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
nvidia_h200-1mmixtral_8x7b_qwen2_57b_a14b-2t32_64_128_256_384_512_768_1024_1536_2048_3072_4096_6-77928810,2026-09-09T17:07:56Z,NVIDIA H200,NVIDIA H200,2.13.0+cu130,0.27.1,v0.27.1,mixtral-8x7b,8,2,64,16.0000,fp8_e4m3,cfg_bf16,uniform,0,forced,32,128,128,64,4,3,"{""BLOCK_SIZE_K"": 128, ""BLOCK_SIZE_M"": 32, ""BLOCK_SIZE_N"": 128, ""GROUP_SIZE_M"": 64, ""num_stages"": 3, ""num_warps"": 4}",1,torch.float8_e4m3fn,FusedMoEQuantConfig,,,0.392288,0.392139,0.000356,0.391648,3,1980,1890,queue-deep/l2-flush/clock-under-load/v3,334.5,506,3,1980,0,high,1,1,0,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,True,1,2026-09-09T17:07:08+00:00,238b79f71e94,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/clock-under-load/v3,152.8120650229884,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,4374549151491.3315,/workspace/moe-kernels/moe/bench/hardware/measured_nvidia_h200.yaml,300.0,,200.0,iters=not supplied by caller; sglang=package not installed,
