block_m,tokens,rows_per_expert,tiles_per_expert,padded_rows,tile_eff,aligned,waves_up,waves_down,ms_p50,ms_min,ms_stdev,iters,useful_tflops,padded_tflops,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,clock_level_side,l2_flush,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
16,56,14.0,1,128,0.875,False,27.151515151515152,3.878787878787879,0.75273597240448,0.7352960109710693,0.013798585917584474,533,52.422115427740316,59.91098906027465,ok,,queue-deep/l2-flush/clock-under-load/v3,328.51567977666855,3,1905.0,False,True,high,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,64,16.0,1,128,1.0,True,27.151515151515152,3.878787878787879,0.7614399790763855,0.7424960136413574,0.011062311909631266,523,59.22614762453388,59.22614762453388,ok,,queue-deep/l2-flush/clock-under-load/v3,340.37734347581863,3,1785.0,False,True,high,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,72,18.0,2,256,0.5625,False,54.303030303030305,7.757575757575758,1.3129279613494873,1.2676479816436768,0.02439789990576758,303,38.6421057952433,68.69707696932142,ok,,queue-deep/l2-flush/clock-under-load/v3,341.20655727386475,3,1650.0,False,False,high,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,120,30.0,2,256,0.9375,False,54.303030303030305,7.757575757575758,1.343392014503479,1.2844799757003784,0.020995442638634263,297,62.94303355022736,67.13923578690918,ok,,queue-deep/l2-flush/clock-under-load/v3,337.81084954738617,3,1605.0,False,False,high,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,128,32.0,2,256,1.0,True,54.303030303030305,7.757575757575758,1.3583199977874756,1.3103359937667847,0.015953202541845693,290,66.40137328679151,66.40137328679151,ok,,queue-deep/l2-flush/clock-under-load/v3,339.6954517364502,3,1545.0,True,False,,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,136,34.0,3,384,0.7083333333333334,False,81.45454545454545,11.636363636363637,1.975775957107544,1.9196799993515015,0.028745331013965456,201,48.50320070312697,68.47510687500278,ok,,queue-deep/l2-flush/clock-under-load/v3,339.754846572876,3,1582.5,False,False,high,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,184,46.0,3,384,0.9583333333333334,False,81.45454545454545,11.636363636363637,2.0236480236053467,1.960319995880127,0.02116417616149301,196,64.06960288331508,66.85523779128532,ok,,queue-deep/l2-flush/clock-under-load/v3,330.4411504268646,3,1537.5,True,False,,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,192,48.0,3,384,1.0,True,81.45454545454545,11.636363636363637,2.039167881011963,1.9584319591522217,0.020757374995089863,195,66.34641075106573,66.34641075106573,ok,,queue-deep/l2-flush/clock-under-load/v3,336.06086564064026,3,1522.5,True,True,,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,200,50.0,4,512,0.78125,False,108.60606060606061,15.515151515151516,2.6709439754486084,2.6219840049743652,0.018732686235478326,149,52.76359807447096,67.53740553532283,ok,,queue-deep/l2-flush/clock-under-load/v3,339.7852473258972,3,1522.5,True,True,,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
16,248,62.0,4,512,0.96875,False,108.60606060606061,15.515151515151516,2.699007987976074,2.619935989379883,0.01631931967867347,147,64.74655971175625,66.83515841213548,ok,,queue-deep/l2-flush/clock-under-load/v3,334.4405424594879,3,1500.0,True,True,,True,4374.549151491332,"measured on this device: NVIDIA H200 (measured), 4374.5 GB/s (triad pattern)",13.0,580.159.04,True,1,981a42f6caeb8b634a6a2e62113cc622d75910bc,NVIDIA H200,238b79f71e94,queue-deep/l2-flush/clock-under-load/v3,,iters=supplied as None; sglang=package not installed,1,3.12.3,152.8120650229884,"measured on this device: NVIDIA H200 (measured), 668.5 TFLOP/s bf16 over 4374.5 GB/s (triad pattern); calibrated 2026-09-09 at 981a42f6",,400.0,2.13.0,3.7.1,2026-09-09T17:04:47+00:00,0.27.1,300.0
