block_m,rows_per_expert,tiles,tokens,rep,ms_p50,ms_min,ms_stdev,iters,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,settle_ms,settle_calls,clock_level_ok,clock_drift_ok,clock_level_side,instrument,warmup_ms,trials,l2_flush,status,detail,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
256,256,1,1024,1,1.929535984992981,1.8512320518493652,0.1434052969257708,208,1740.0,1815.0,1725.0,1815 1815 1740 1740 1755 1755 1755 1755 1740 1740 1335 1335 1515 1515 1695 1695 1695 1695 1755 1755 1710 1710 1740 1740 1725,23.839487075805664,12,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,352.0236178636551,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,512,2,2048,1,3.8865760564804077,3.7850561141967773,0.08919761203904265,98,1680.0,1680.0,1680.0,1680 1680 1695 1695 1710 1710 1710 1710 1710 1710 1650 1650 1695 1695 1635 1635 1620 1620 1620 1620 1665 1665 1680,41.505727767944336,10,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.5535309314728,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,1024,4,4096,1,7.7879838943481445,7.496543884277344,0.22531574444227698,52,1665.0,1695.0,1665.0,1695 1740 1740 1650 1650 1635 1635 1620 1620 1650 1650 1530 1530 1665 1665 1695 1695 1680 1680 1695 1695 1680 1680 1665,23.287263870239258,3,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,349.9296941757202,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,2048,8,8192,1,15.579008102416992,15.411616325378418,0.7417412607203849,25,1665.0,1680.0,1680.0,1680 1680 1680 1680 1665 1665 1650 1650 1665 1665 1335 1335 1545 1545 1650 1650 1665 1665 1665 1665 1635 1635 1680,15.787487983703613,1,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,338.0903663635254,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,4096,16,16384,1,32.2992000579834,32.00185775756836,2.145359866595686,12,1665.0,1665.0,1665.0,1665 1665 1695 1695 1695 1695 1665 1665 1515 1515 1365 1365 1560 1560 1650 1650 1665 1665 1680 1680 1680 1680 1665,32.08201599121094,1,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,383.3775691986084,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,256,1,1024,2,1.9993280172348022,1.8940160274505615,0.0543381726273193,189,1680.0,1755.0,1665.0,1755 1755 1665 1665 1695 1695 1710 1710 1725 1725 1650 1650 1695 1695 1680 1680 1620 1620 1560 1560 1635 1635 1665,23.936416625976562,11,False,False,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.03433322906494,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,512,2,2048,2,3.9692161083221436,3.8240959644317627,0.08942069686222624,103,1657.5,1695.0,1635.0,1695 1695 1635 1635 1620 1620 1590 1590 1635 1635 1575 1575 1680 1680 1695 1695 1695 1695 1680 1680 1680 1680 1635 1635,47.57145690917969,12,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,379.93229150772095,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,1024,4,4096,2,7.806272029876709,7.6572160720825195,0.23054574221374338,51,1665.0,1680.0,1680.0,1680 1680 1680 1680 1680 1680 1680 1650 1650 1590 1590 1545 1545 1635 1635 1650 1650 1680 1680 1665 1665 1665 1665 1680,23.564096450805664,3,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.9548168182373,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,2048,8,8192,2,16.02638339996338,15.568160057067871,0.405015950797381,24,1620.0,1560.0,1605.0,1560 1635 1635 1620 1620 1635 1635 1635 1635 1665 1470 1470 1650 1650 1650 1650 1590 1590 1605 1605 1605 1605 1605,16.533472061157227,1,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,345.2202262878418,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,4096,16,16384,2,32.09739112854004,31.646976470947266,2.1610453082159493,12,1680.0,1695.0,1695.0,1695 1680 1680 1665 1665 1695 1695 1695 1695 1305 1305 1485 1485 1620 1620 1680 1680 1680 1680 1710 1710 1695 1695,32.22528076171875,1,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,383.77718925476074,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
