card,roof_tflops,roof_source,roof_clock_mhz,block_m,tokens,rows_per_expert,tiles,regime,tile_eff,reps,ms_p50,ms_spread_rel,useful_tflops,roof_fraction,sm_clock_mhz,throttled_reps,retained,excluded_why,instrument,warmup_ms,iters,trials,l2_flush,clock_level_ok,clock_drift_ok,clock_level_side,boosted_reps,cold_reps,roof_fraction_at_clock
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,256,1024,256,1,onset,1.000000,1,1.929536,,373.9523,0.562125,1740,2,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,352.0236178636551,208,3,True,False,True,high,1,0,0.470052
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,256,2048,512,2,multi-tile,1.000000,2,3.927896,0.010520,367.4000,0.552275,1668,1,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.5535309314728,98,3,True,False,True,high,2,0,0.481534
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,256,4096,1024,4,multi-tile,1.000000,3,7.787984,0.003931,370.5989,0.557084,1665,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,349.9296941757202,52,3,True,False,True,high,3,0,0.486821
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,256,8192,2048,8,multi-tile,1.000000,3,15.811872,0.011554,365.0698,0.548772,1635,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,338.0903663635254,25,3,True,False,True,high,3,0,0.488357
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,256,16384,4096,16,multi-tile,1.000000,3,32.264688,0.002732,357.8176,0.537871,1680,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,383.3775691986084,12,3,True,False,True,high,3,0,0.465834
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,128,32,1,pre-onset,0.250000,2,0.989552,0.003056,91.1466,0.137011,1710,1,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.7678681612015,394,3,True,False,True,high,2,0,0.116580
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,256,64,1,pre-onset,0.500000,2,1.066320,0.013579,169.1693,0.254295,1597,1,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.79468834400177,371,3,True,False,True,high,2,0,0.231611
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,512,128,1,onset,1.000000,2,1.126936,0.004352,320.1400,0.481234,1410,1,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,391.3529245853424,346,3,True,True,True,,0,0,0.496592
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,1024,256,2,multi-tile,1.000000,3,2.184688,0.001022,330.2781,0.496473,1410,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.1872630119324,184,3,True,True,True,,0,0,0.512318
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,2048,512,4,multi-tile,1.000000,3,4.384240,0.000262,329.1583,0.494790,1395,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,347.13600063323975,90,3,True,True,True,,0,0,0.516072
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,4096,1024,8,multi-tile,1.000000,3,8.717312,0.000230,331.0904,0.497694,1402,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,339.61622524261475,46,3,True,True,True,,0,0,0.516325
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,8192,2048,16,multi-tile,1.000000,3,17.531136,0.000659,329.2677,0.494955,1395,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,341.5077095031738,22,3,True,True,True,,0,0,0.516243
nvidia_h200,665.2482,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",1455,128,16384,4096,32,multi-tile,1.000000,3,36.299297,0.001625,318.0467,0.478087,1425,0,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,391.55287170410156,11,3,True,True,True,,0,0,0.488152
