setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s4w8g1,4,8,1,64,1,64,256,1,0.8086079955101013,0.7904319763183594,0.07115958757835987,481,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,389.16224068403244,3,1515.0,1530.0,1515.0,1530 1530 1545 1545 1485 1485 1515 1515 1515 1515 735 735 1200 1200 1440 1440 1500 1500 1530 1530 1575 1575 1485 1485 1515 1515,697.368,True,True,True,
s3w8g16,3,8,16,64,1,64,256,1,0.8005919754505157,0.75900799036026,0.08209361598800204,510,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.4610257744789,3,1455.0,1515.0,1455.0,1515 1515 1470 1470 1455 1455 1470 1470 1455 1455 855 855 1155 1155 1380 1380 1440 1440 1425 1425 1470 1470 1440 1440 1440 1455 1455,693.313,True,True,True,
s2w8g1,2,8,1,64,1,64,256,1,0.8930879831314087,0.8708800077438354,0.060573520293548504,447,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.94175988435745,3,1695.0,1830.0,1695.0,1830 1830 1695 1695 1695 1695 1695 1695 1455 1455 1005 1005 1410 1410 1590 1590 1665 1665 1650 1650 1695 1695 1695 1695 1695 1695,693.983,False,False,True,high
s3w8g1,3,8,1,64,1,64,256,1,0.7899519801139832,0.7450240254402161,0.08239450036741923,509,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.65670669078827,3,1455.0,1455.0,1455.0,1455 1455 1425 1425 1470 1470 1470 1470 1470 1470 750 750 1260 1260 1410 1410 1470 1470 1410 1410 1620 1620 1440 1440 1455 1455 1455,691.365,True,True,True,
s3w8g8,3,8,8,64,1,64,256,1,0.8022400140762329,0.7571840286254883,0.08980968520215073,502,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,388.19859570264816,3,1425.0,1470.0,1425.0,1470 1470 1440 1440 1470 1470 1440 1440 1335 1335 750 750 1305 1305 1425 1425 1425 1425 1425 1425 1455 1455 1440 1440 1425 1425 1425,692.442,True,True,True,
s3w4g1,3,4,1,64,1,64,256,1,0.7701759934425354,0.7380160093307495,0.06934788967201745,519,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.0920607447624,3,1455.0,1485.0,1485.0,1485 1650 1650 1455 1455 1545 1545 1425 1425 1260 1260 1065 1065 1395 1395 1410 1410 1470 1470 1500 1500 1440 1440 1590 1590 1485,688.1400000000001,True,True,True,
s2w4g1,2,4,1,64,1,64,256,1,0.860944002866745,0.8364480137825012,0.05771611667562189,462,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.5416314005852,3,1635.0,1650.0,1650.0,1650 1830 1830 1695 1695 1650 1650 1665 1665 1635 1635 930 930 1365 1365 1500 1500 1620 1620 1575 1575 1635 1635 1665 1665 1650,688.2175,False,True,True,high
s5w8g1,5,8,1,64,1,64,256,1,0.8032000064849854,0.762112021446228,0.07278004026370614,501,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.6673296689987,3,1432.5,1485.0,1425.0,1485 1470 1470 1440 1440 1470 1470 1485 1485 1290 1290 1020 1020 1365 1365 1440 1440 1425 1425 1470 1470 1425 1425 1425 1425 1425,684.3834999999999,True,True,True,
s3w8g64,3,8,64,64,1,64,256,1,0.8032960295677185,0.7635200023651123,0.07862855078349791,498,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.1805740594864,3,1425.0,1440.0,1440.0,1440 1440 1425 1425 1470 1470 1425 1425 1440 1440 1020 1020 1155 1155 1350 1350 1410 1410 1440 1425 1425 1425 1425 1455 1455 1440,691.828,True,True,True,
s3w4g1,3,4,1,64,2,128,512,1,1.4731040000915527,1.4024319648742676,0.03088715219660827,266,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,384.7844455242157,3,1395.0,1455.0,1395.0,1455 1455 1395 1395 1410 1410 1410 1410 1425 1425 1335 1335 1410 1410 1305 1305 1260 1260 1290 1290 1380 1380 1395 1395,696.2825,True,True,True,
s2w4g1,2,4,1,64,2,128,512,1,1.5580159425735474,1.5073280334472656,0.033247304553970736,257,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.88236808776855,3,1515.0,1530.0,1395.0,1530 1530 1425 1425 1455 1455 1515 1515 1485 1485 1560 1560 1410 1410 1545 1545 1545 1545 1515 1515 1515 1515 1500 1500 1395,692.042,True,False,True,
