block_m,tokens,rows_per_expert,tiles_per_expert,padded_rows,tile_eff,aligned,waves_up,waves_down,ms_p50,ms_min,ms_stdev,iters,useful_tflops,padded_tflops,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,clock_level_side,l2_flush,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
32,112,28.0,1,256,0.875,False,27.151515151515152,3.878787878787879,0.7528640031814575,0.7398080229759216,0.07170021315855654,532,104.82640122319471,119.8016013979368,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.46284782886505,3,1680.0,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,128,32.0,1,256,1.0,True,27.151515151515152,3.878787878787879,0.777103990316391,0.7491840124130249,0.016695627232603854,502,116.06466359705371,116.06466359705371,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.095869243145,3,1470.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,144,36.0,2,512,0.5625,False,54.303030303030305,7.757575757575758,1.2916159629821777,1.1703039407730103,0.05557597374076708,313,78.55942112524053,139.66119311153872,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.69305896759033,3,1710.0,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,224,56.0,2,512,0.875,False,54.303030303030305,7.757575757575758,1.3217120170593262,1.1866240501403809,0.03011028508989714,302,119.42090719518305,136.4810367944949,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.99308681488037,3,1650.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,240,60.0,2,512,0.9375,False,54.303030303030305,7.757575757575758,1.3239840269088745,1.25273597240448,0.023238546613961915,296,127.73140297986357,136.24682984518782,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.44281578063965,3,1642.5,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,256,64.0,2,512,1.0,True,54.303030303030305,7.757575757575758,1.326367974281311,1.2313920259475708,0.022635025115821585,300,136.00194661646827,136.00194661646827,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.18412613868713,3,1635.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,272,68.0,3,768,0.7083333333333334,False,81.45454545454545,11.636363636363637,1.8646080493927002,1.812831997871399,0.025096782195377684,213,102.78992179961052,145.1151837170972,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.78031384944916,3,1740.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,288,72.0,3,768,0.75,False,81.45454545454545,11.636363636363637,1.8763519525527954,1.7282559871673584,0.03144780626878683,212,108.15519149267381,144.20692199023176,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.4836480617523,3,1725.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,368,92.0,3,768,0.9583333333333334,False,81.45454545454545,11.636363636363637,1.9120320081710815,1.7490880489349365,0.030530959952032807,211,135.61940876922705,141.5159048026717,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.97734355926514,3,1680.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
32,384,96.0,3,768,1.0,True,81.45454545454545,11.636363636363637,1.9236479997634888,1.8413439989089966,0.02291969208518076,206,140.66135783743593,140.66135783743593,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.99366641044617,3,1672.5,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:41:42+00:00,0.27.1,300.0
