block_m,tokens,rows_per_expert,tiles_per_expert,padded_rows,tile_eff,aligned,waves_up,waves_down,ms_p50,ms_min,ms_stdev,iters,useful_tflops,padded_tflops,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,clock_level_side,l2_flush,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
32,112,28.0,1,256,0.875,False,27.151515151515152,3.878787878787879,0.7462080121040344,0.7321599721908569,0.0625990468017767,535,105.76142681914433,120.87020207902209,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.2081575393677,3,1665.0,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,128,32.0,1,256,1.0,True,27.151515151515152,3.878787878787879,0.760640025138855,0.7428479790687561,0.017495659764809605,510,118.5768697874333,118.5768697874333,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.9128968119621,3,1500.0,True,False,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,144,36.0,2,512,0.5625,False,54.303030303030305,7.757575757575758,1.462544023990631,1.3980480432510376,0.03430875810809919,272,69.37815252298347,123.33893781863728,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.13762736320496,3,1507.5,True,False,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,224,56.0,2,512,0.875,False,54.303030303030305,7.757575757575758,1.4616639614105225,1.410048007965088,0.022080374580551124,275,107.98654977829688,123.413199746625,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.1316804885864,3,1515.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,240,60.0,2,512,0.9375,False,54.303030303030305,7.757575757575758,1.4783680438995361,1.415071964263916,0.015733754253283994,269,114.3925817240489,122.01875383898549,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.44079780578613,3,1477.5,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,256,64.0,2,512,1.0,True,54.303030303030305,7.757575757575758,1.479583978652954,1.4271680116653442,0.015902133478070065,269,121.91847778470121,121.91847778470121,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.2196772098541,3,1485.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,272,68.0,3,768,0.7083333333333334,False,81.45454545454545,11.636363636363637,2.164896011352539,2.104095935821533,0.026431607638037855,183,88.53215793226798,124.98657590437833,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,368.1088287830353,3,1500.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,288,72.0,3,768,0.75,False,81.45454545454545,11.636363636363637,2.1671359539031982,2.1264638900756836,0.019302996318088995,182,93.64304273134901,124.85739030846534,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.825248003006,3,1500.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,368,92.0,3,768,0.9583333333333334,False,81.45454545454545,11.636363636363637,2.2030398845672607,2.146336078643799,0.019139340435603506,183,117.70492777389526,122.82253332928201,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.99366521835327,3,1470.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
32,384,96.0,3,768,1.0,True,81.45454545454545,11.636363636363637,2.2047040462493896,2.1538240909576416,0.020447798535086624,183,122.7298240361611,122.7298240361611,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,347.70969796180725,3,1470.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T04:46:44+00:00,0.27.1,300.0
