block_m,tokens,rows_per_expert,tiles_per_expert,padded_rows,tile_eff,aligned,waves_up,waves_down,ms_p50,ms_min,ms_stdev,iters,useful_tflops,padded_tflops,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,clock_level_side,l2_flush,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
32,112,28.0,1,256,0.875,False,27.151515151515152,3.878787878787879,0.7541760206222534,0.7400000095367432,0.07199421127387878,530,104.64403787180198,119.59318613920226,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.29152047634125,3,1680.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,128,32.0,1,256,1.0,True,27.151515151515152,3.878787878787879,0.7724800109863281,0.7470399737358093,0.018162770361009,518,116.75941374953754,116.75941374953754,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,386.9151684641838,3,1485.0,True,False,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,144,36.0,2,512,0.5625,False,54.303030303030305,7.757575757575758,1.30239999294281,1.2327680587768555,0.037034795357116734,310,77.90893958677685,138.5047814876033,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.34144032001495,3,1695.0,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,224,56.0,2,512,0.875,False,54.303030303030305,7.757575757575758,1.3105120062828064,1.2288320064544678,0.032787837885835745,310,120.441512455658,137.64744280646627,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.7093770503998,3,1665.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,240,60.0,2,512,0.9375,False,54.303030303030305,7.757575757575758,1.3194880485534668,1.222656011581421,0.028698749553770168,297,128.1666305847918,136.7110726237779,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.254590511322,3,1627.5,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,256,64.0,2,512,1.0,True,54.303030303030305,7.757575757575758,1.3276640176773071,1.2762240171432495,0.021634737002768165,302,135.86918379213319,135.86918379213319,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.8156853914261,3,1635.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,272,68.0,3,768,0.7083333333333334,False,81.45454545454545,11.636363636363637,1.8634239435195923,1.7533440589904785,0.03089595932820693,215,102.85523927635678,145.2073966254449,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.854080080986,3,1740.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,288,72.0,3,768,0.75,False,81.45454545454545,11.636363636363637,1.8767999410629272,1.8106880187988281,0.021248662836722804,211,108.1293750579864,144.1725000773152,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.3147197961807,3,1725.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,368,92.0,3,768,0.9583333333333334,False,81.45454545454545,11.636363636363637,1.91103994846344,1.839136004447937,0.028761645206721746,210,135.6898115628067,141.58936858727657,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.40403163433075,3,1680.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,384,96.0,3,768,1.0,True,81.45454545454545,11.636363636363637,1.9072959423065186,1.8167359828948975,0.02967695253048022,209,141.86730734653605,141.86730734653605,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.03894340991974,3,1680.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,400,100.0,4,1024,0.78125,False,108.60606060606061,15.515151515151516,2.397696018218994,2.286400079727173,0.05224403532485461,163,117.55336233546537,150.46830378939566,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,382.74057269096375,3,1755.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
32,480,120.0,4,1024,0.9375,False,108.60606060606061,15.515151515151516,2.437872052192688,2.333983898162842,0.059687777679980215,162,138.73930514761346,147.98859215745438,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.9783375263214,3,1740.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:07:39+00:00,0.27.1,300.0
