block_m,tokens,rows_per_expert,tiles_per_expert,padded_rows,tile_eff,aligned,waves_up,waves_down,ms_p50,ms_min,ms_stdev,iters,useful_tflops,padded_tflops,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,clock_level_ok,clock_drift_ok,clock_level_side,l2_flush,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
32,224,28.0,1,2048,0.875,False,38.78787878787879,27.151515151515152,0.9334719777107239,0.9191039800643921,0.09478801207290298,409,105.6807621819912,120.77801392227566,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.7912290096283,3,1650.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,256,32.0,1,2048,1.0,True,38.78787878787879,27.151515151515152,0.9662399888038635,0.9381759762763977,0.0173634292250152,395,116.68207984184932,116.68207984184932,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.08927965164185,3,1470.0,True,False,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,288,36.0,2,4096,0.5625,False,77.57575757575758,54.303030303030305,1.6737600564956665,1.5625280141830444,0.05903460183885361,243,75.77893406391514,134.7181050025158,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,388.0547196865082,3,1650.0,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,448,56.0,2,4096,0.875,False,77.57575757575758,54.303030303030305,1.720911979675293,1.619711995124817,0.045829416518503543,232,114.6485482640589,131.0269123017816,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,360.02400052547455,3,1575.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,480,60.0,2,4096,0.9375,False,77.57575757575758,54.303030303030305,1.7525280117988586,1.6640000343322754,0.032332541310212154,226,120.62170771411442,128.66315489505538,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.7219218015671,3,1552.5,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,512,64.0,2,4096,1.0,True,77.57575757575758,54.303030303030305,1.749679982662201,1.661952018737793,0.035310143534763666,230,128.87258542954538,128.87258542954538,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.27468848228455,3,1515.0,True,True,,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,544,68.0,3,6144,0.7083333333333334,False,116.36363636363636,81.45454545454545,2.4285759925842285,2.2832319736480713,0.07896700951481289,167,98.64984468740724,139.27036897045727,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.78467321395874,3,1687.5,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,576,72.0,3,6144,0.75,False,116.36363636363636,81.45454545454545,2.450752019882202,2.351840019226074,0.057212132613626385,167,103.50761882966557,138.01015843955412,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.9788818359375,3,1665.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,736,92.0,3,6144,0.9583333333333334,False,116.36363636363636,81.45454545454545,2.503200054168701,2.3782079219818115,0.06829323566427246,159,129.4885770636673,135.1185151968702,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,360.85324788093567,3,1605.0,False,True,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
32,768,96.0,3,6144,1.0,True,116.36363636363636,81.45454545454545,2.5258240699768066,2.328671932220459,0.0657754374958706,161,133.90824744302392,133.90824744302392,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,379.8008301258087,3,1590.0,False,False,high,True,4374.299702465323,"calibration: measured on this device: NVIDIA H200 (measured), 4374.3 GB/s (triad pattern)",13.0,580.159.04,True,1,c0644beadd3dfe2fde7045520d6dee61b7655971,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,155.9303223641331,"calibration: measured on this device: NVIDIA H200 (measured), 682.1 TFLOP/s bf16 over 4374.3 GB/s (triad pattern); calibrated 2026-09-10 at c0644bea",,400.0,2.13.0,3.7.1,2026-09-10T05:12:44+00:00,0.27.1,300.0
