block_n,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,l2_flush,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,host_bound,clock_level_side,prov_provenance_version,prov_git_sha,prov_git_dirty,prov_git_dirty_files,prov_utc,prov_hostname,prov_gpu_name,prov_driver_version,prov_cuda_version,prov_python,prov_torch,prov_triton,prov_vllm,prov_sglang,prov_instrument,prov_ridge,prov_ridge_source,prov_bandwidth,prov_bandwidth_source,prov_warmup_ms,prov_iters,prov_target_ms,prov_missing
32,256,1,256,1024,1,2.9506880044937134,2.883392095565796,0.1980008021145551,136,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,353.8088948726654,3,True,1770.0,1785.0,1755.0,1785 1770 1770 1770 1770 1770 1770 1785 1785 1650 1650 1395 1395 1635 1635 1725 1725 1770 1770 1770 1770 1770 1770 1755 1755,682.267,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,2,512,2048,1,5.954880237579346,5.765312194824219,0.13040766534552492,65,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.3381748199463,3,True,1725.0,1695.0,1740.0,1695 1695 1725 1725 1755 1755 1755 1755 1770 1770 1665 1665 1755 1755 1740 1740 1680 1680 1665 1665 1680 1680 1740,693.743,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,3,768,3072,1,8.803103923797607,8.485088348388672,0.2833811895535832,46,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,335.1699504852295,3,True,1740.0,1815.0,1740.0,1815 1785 1785 1740 1740 1710 1710 1710 1710 1695 1695 1605 1605 1740 1740 1800 1800 1785 1785 1770 1770 1785 1785 1740,693.2555,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,4,1024,4096,1,11.498655796051025,11.241984367370605,0.29563026562305783,34,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.3959665298462,3,True,1770.0,1725.0,1770.0,1725 1770 1770 1785 1785 1800 1800 1755 1755 1785 1785 1635 1635 1770 1770 1770 1770 1710 1710 1755 1755 1770 1770,695.026,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,1,256,1024,2,3.0636799335479736,2.8729279041290283,0.06498662750016795,128,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.3129298686981,3,True,1695.0,1665.0,1695.0,1665 1665 1665 1680 1680 1695 1695 1695 1695 1710 1710 1680 1680 1740 1740 1710 1710 1680 1680 1680 1680 1695 1695 1695,692.54,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,2,512,2048,2,5.919679880142212,5.784768104553223,0.11345780693879111,68,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.33549070358276,3,True,1725.0,1740.0,1725.0,1740 1740 1740 1740 1710 1710 1695 1695 1695 1695 1635 1635 1680 1740 1740 1725 1725 1710 1710 1740 1740 1725 1725 1725,694.472,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,3,768,3072,2,8.710911750793457,8.532735824584961,0.30321242943578236,45,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,339.33347034454346,3,True,1755.0,1755.0,1770.0,1755 1740 1740 1755 1755 1740 1740 1755 1755 1755 1755 1575 1575 1740 1740 1725 1725 1755 1755 1755 1755 1770 1770,696.222,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,4,1024,4096,2,11.509999752044678,11.35580825805664,0.23434501262358198,34,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.3418560028076,3,True,1770.0,1725.0,1740.0,1725 1785 1785 1770 1770 1755 1755 1770 1770 1770 1770 1650 1650 1770 1770 1770 1770 1740 1740 1770 1770 1740 1740,690.684,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,1,256,1024,3,3.0593279600143433,2.959455966949463,0.041092917079122146,128,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.5562551021576,3,True,1695.0,1680.0,1680.0,1680 1680 1695 1695 1695 1695 1695 1695 1695 1695 1695 1695 1725 1725 1725 1725 1695 1695 1620 1620 1665 1665 1680,692.446,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,2,512,2048,3,5.922176122665405,5.784063816070557,0.09635076254530688,68,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,360.5320987701416,3,True,1725.0,1740.0,1725.0,1740 1740 1725 1725 1725 1725 1695 1695 1695 1695 1620 1620 1695 1695 1725 1725 1740 1740 1740 1740 1725 1725 1725 1725,692.3685,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
32,256,3,768,3072,3,8.783103942871094,8.612959861755371,0.17825036450022194,46,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,340.7777271270752,3,True,1740.0,1785.0,1755.0,1785 1785 1740 1740 1770 1770 1755 1755 1770 1770 1755 1755 1650 1650 1725 1725 1725 1725 1725 1740 1740 1740 1740 1755,693.369,False,True,False,high,1,63d27a7df5e2840881dfc5c77243e55a93840734,True,1,2026-09-14T23:52:40+00:00,9d476ebc86ca,NVIDIA H200,580.159.04,13.0,3.12.3,2.13.0,3.7.1,0.27.1,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,152.89716036611227,"measured on this device: NVIDIA H200 (measured), 668.9 TFLOP/s bf16 over 4374.7 GB/s (triad pattern); calibrated 2026-09-14 at 63d27a7d",4374.667955172987,this machine's calibration (NVIDIA H200 (measured)),300.0,,400.0,iters=supplied as None; sglang=package not installed
