setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s4w8g1,4,8,1,64,1,64,256,1,0.8065919876098633,0.7899199724197388,0.07963272929963322,493,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.47996586561203,3,1522.5,1530.0,1530.0,1530 1530 1560 1560 1500 1500 1545 1545 1530 1530 1425 1425 945 945 1335 1335 1485 1485 1500 1500 1530 1530 1545 1545 1515 1530,685.616,True,True,True,
s3w8g16,3,8,16,64,1,64,256,1,0.7937600016593933,0.7611839771270752,0.09198799895741938,495,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.038687646389,3,1470.0,1665.0,1470.0,1665 1665 1485 1485 1470 1470 1485 1485 1440 1440 900 900 1305 1305 1425 1425 1455 1455 1455 1455 1470 1470 1485 1485 1470 1470,692.699,True,False,True,
s2w8g1,2,8,1,64,1,64,256,1,0.8895360231399536,0.8669120073318481,0.06113498387146803,449,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,367.27174323797226,3,1710.0,1710.0,1710.0,1710 1710 1725 1725 1695 1695 1710 1710 1710 1710 1110 1110 1215 1215 1485 1485 1635 1635 1710 1710 1710 1710 1710 1710 1710 1710,692.426,False,True,True,high
s3w8g1,3,8,1,64,1,64,256,1,0.7797120213508606,0.7442240118980408,0.0794234746414788,514,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.9443793296814,3,1470.0,1470.0,1455.0,1470 1500 1500 1470 1470 1470 1470 1485 1485 1215 1215 945 945 1335 1335 1425 1425 1455 1455 1470 1470 1470 1470 1485 1485 1455 1455,692.341,True,True,True,
s3w8g8,3,8,8,64,1,64,256,1,0.7951359748840332,0.7616639733314514,0.07886333282572261,499,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.3312973380089,3,1455.0,1485.0,1455.0,1485 1485 1500 1500 1455 1455 1455 1455 1470 1470 660 660 1170 1170 1395 1395 1440 1440 1440 1440 1470 1470 1455 1455 1455 1455,686.65,True,True,True,
s3w4g1,3,4,1,64,1,64,256,1,0.7669119834899902,0.7400320172309875,0.07285083011931177,521,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.17206376791,3,1485.0,1485.0,1500.0,1485 1680 1680 1500 1500 1500 1500 1470 1470 1485 1485 765 765 1245 1245 1455 1455 1485 1485 1470 1470 1515 1515 1485 1485 1500,687.712,True,True,True,
s2w4g1,2,4,1,64,1,64,256,1,0.8547520041465759,0.8359360098838806,0.05373234465786839,468,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.91711831092834,3,1695.0,1740.0,1710.0,1740 1740 1710 1710 1725 1725 1695 1695 1590 1590 990 990 1320 1320 1530 1530 1665 1665 1635 1635 1695 1695 1695 1695 1710 1710,692.932,False,True,True,high
s5w8g1,5,8,1,64,1,64,256,1,0.7854879796504974,0.7536640167236328,0.08016595752321111,508,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.75279438495636,3,1470.0,1665.0,1470.0,1665 1665 1470 1470 1485 1485 1485 1485 1485 1485 735 735 1260 1260 1425 1425 1455 1455 1455 1455 1470 1470 1470 1470 1470 1470,692.94,True,False,True,
s3w8g64,3,8,64,64,1,64,256,1,0.7997440099716187,0.7615039944648743,0.07503696768166773,496,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,382.0734088420868,3,1455.0,1560.0,1455.0,1560 1560 1485 1485 1455 1455 1455 1455 1395 1395 930 930 1320 1320 1425 1425 1455 1455 1440 1440 1455 1455 1455 1455 1455 1455,688.168,True,False,True,
s3w4g1,3,4,1,64,2,128,512,1,1.457759976387024,1.3475840091705322,0.04230256819272474,275,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.8428511619568,3,1410.0,1425.0,1425.0,1425 1425 1425 1440 1440 1425 1425 1440 1440 1335 1335 1335 1335 1395 1395 1335 1335 1305 1305 1410 1410 1410 1410 1425 1425,694.789,True,True,True,
