arm,repeat,block_m,tiles,rows_per_expert,tokens,copies,experts_declared,ms_p50,ms_min,ms_stdev,iters,trials,warmup_ms,instrument,sm_clock_load_mhz,clock_level_ok,clock_level_side,clock_drift_ok,l2_flush,status,detail,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
native,0,32,1,32,128,1,8,0.7555199861526489,0.7400959730148315,0.08384837698330937,265,3,354.1308177113533,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1710.0,False,high,False,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
shared,0,32,1,32,128,1,72,0.7625600099563599,0.7458879947662354,0.02261641546693289,263,3,364.91855573654175,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1605.0,False,high,False,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
private,0,32,1,32,128,1,72,0.7782400250434875,0.7455360293388367,0.016603911966036798,263,3,365.5420813560486,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1485.0,True,,False,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
native,0,32,2,64,256,1,8,1.3273280262947083,1.2040959596633911,0.04567608556957161,156,3,383.1172158718109,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1620.0,False,high,False,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
shared,0,32,2,64,256,1,72,1.32779198884964,1.2135679721832275,0.04090613169105524,152,3,365.5471373796463,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1635.0,False,high,False,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
private,0,32,2,64,256,2,72,1.5356160402297974,1.5040960311889648,0.026994558387126787,131,3,359.9252805709839,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1455.0,True,,True,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
native,0,32,3,96,384,1,8,1.8909119963645935,1.8336960077285767,0.030332401624065017,106,3,354.98441660404205,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1695.0,False,high,True,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
shared,0,32,3,96,384,1,72,1.903056025505066,1.8137600421905518,0.028907302901798944,106,3,354.1559646129608,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1665.0,False,high,True,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
private,0,32,3,96,384,3,72,2.27622389793396,2.2458879947662354,0.02296027947575093,87,3,353.4037103652954,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1432.5,True,,True,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
native,0,32,4,128,512,1,8,2.437983989715576,2.19321608543396,0.09357600904555333,85,3,350.5359032154083,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,1755.0,False,high,False,True,ok,,4378.033255567562,"measured on this device: NVIDIA H200 (measured), 4378.0 GB/s (triad pattern)",13.0,595.91.07,True,1,81f80b7b803b07687a00ab691fb996f268796905,NVIDIA H200,7c1721a195ce,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=supplied as None; sglang=package not installed,1,3.12.3,151.4265937361704,"measured on this device: NVIDIA H200 (measured), 663.0 TFLOP/s bf16 over 4378.0 GB/s (triad pattern); calibrated 2026-09-21 at 81f80b7b",,200.0,2.13.0,3.7.1,2026-09-22T00:01:25+00:00,0.27.1,300.0
