duty_requested,duty_achieved,state_index,repeat,order_index,model,dtype,block_m,block_n,block_k,group_m,num_warps,num_stages,tiles,rows_per_expert,tokens,calls_per_burst,bursts,trials,ms_p50,ms_min,ms_stdev,samples,burst_ms,gap_ms,head_ms,tail_ms,within_burst_ok,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,clock_samples,clock_source,clock_level_ok,clock_level_side,clock_drift_ok,clock_drift_direction,reference_clock_mhz,power_w,mem_clock_mhz,host_bound,host_enqueue_ms,host_backlog_iters,warmup_ms,l2_flush,status,detail,instrument,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
1.0,0.9153899009983832,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,1,32,128,53,18,3,0.7719359993934631,0.7528319954872131,0.0068454769274241415,936,40.98054576582379,0.0,0.7726560235023499,0.7724479734897614,True,1500.0,1500.0,1500.0,1500 1500 1500 1500 1500 1500 1530 1530 1485 1485 1560 1560 1485 1485 1470 1470 1470 1500,18,nvml,True,,True,,1470.0,694.5765,3201.0,False,11.561684776097536,39.10673868844673,204.35222405195236,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9483395338430544,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,2,64,256,32,18,3,1.311903953552246,1.2731200456619263,0.01646776188960481,558,42.089200019836426,0.0,1.312063992023468,1.3120480179786682,True,1650.0,1650.0,1620.0,1650 1650 1650 1650 1650 1635 1635 1665 1665 1665 1650 1650 1650 1650 1665 1665 1620 1620,18,nvml,False,high,True,,1470.0,693.401,3201.0,False,7.002924103289843,26.8554869190414,207.6231359243393,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1650 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9643900724167309,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,3,96,384,21,18,3,1.9615839719772339,1.9025919437408447,0.02224348863035226,360,41.300483518176605,0.0,1.9628480076789856,1.961616039276123,True,1635.0,1650.0,1605.0,1650 1650 1650 1650 1650 1635 1635 1635 1635 1635 1620 1620 1665 1665 1635 1635 1635 1605,18,nvml,False,high,True,,1470.0,695.424,3201.0,False,4.650272894650698,18.653152735583568,201.02067148685455,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1635 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9708784753330827,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,4,128,512,17,18,3,2.4269919395446777,2.354207992553711,0.030989149206522407,288,41.26915733019511,0.0,2.426136016845703,2.432760000228882,True,1740.0,1860.0,1710.0,1860 1740 1740 1755 1755 1725 1725 1725 1740 1740 1740 1740 1740 1740 1740 1755 1755 1710,18,nvml,False,high,False,dropping,1470.0,692.559,3201.0,False,3.8762204349040985,15.411189591914367,200.579487323761,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1740 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.; DRIFT failed, dropping: 1860 -> 1710 MHz over 18 bursts; this cell is EXCLUDED","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9772750912143426,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,5,160,640,13,18,3,3.1661280393600464,3.0948479175567627,0.04355370775642725,216,41.23509324921502,0.0,3.184448003768921,3.1838560104370117,True,1680.0,1695.0,1665.0,1695 1695 1695 1680 1680 1680 1680 1680 1680 1680 1650 1650 1680 1680 1680 1635 1635 1665,18,nvml,False,high,True,,1470.0,694.874,3201.0,False,2.937167417258024,12.041114691871044,242.8657283782959,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1680 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9804311285891708,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,6,192,768,11,18,3,3.709968090057373,3.627648115158081,0.03239278301680606,180,41.01441786024306,0.0,3.7123440504074097,3.7360559701919556,True,1687.5,1710.0,1665.0,1710 1710 1665 1665 1665 1695 1695 1695 1695 1695 1695 1695 1680 1680 1680 1680 1680 1665,18,nvml,False,high,True,,1470.0,694.731,3201.0,False,2.5013601407408714,10.307926458173153,242.1555848121643,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1688 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9829166270264795,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,7,224,896,8,18,3,4.363391876220703,4.317887783050537,0.04074875721589845,126,35.06924083497789,0.0,4.363984107971191,4.364239931106567,True,1680.0,1695.0,1695.0,1695 1665 1665 1665 1680 1680 1680 1680 1680 1650 1650 1650 1695 1695 1695 1695 1695 1695,18,nvml,False,high,True,,1470.0,693.504,3201.0,False,1.8462585285305977,7.5666375879823065,207.66681671142578,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1680 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
1.0,0.9845594061464237,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,8,256,1024,8,18,3,4.8340959548950195,4.659103870391846,0.06699861193831856,126,38.670060581631134,0.0,4.833935976028442,4.835007905960083,True,1725.0,1770.0,1710.0,1770 1770 1770 1740 1740 1740 1755 1755 1710 1710 1710 1725 1725 1710 1710 1710 1710 1710,18,nvml,False,high,True,,1470.0,692.983,3201.0,False,1.8344493582844734,7.6110259630012544,268.70758295059204,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1725 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
0.5,0.4731052244684962,1,0,1,mixtral-8x7b,bf16,32,64,64,4,8,4,1,32,128,53,18,3,0.7416639924049377,0.7319039702415466,0.0043387917330906505,936,39.43225773506694,40.11147417426109,0.7409279942512512,0.743151992559433,True,1920.0,1905.0,1845.0,1905 1950 1845 1905 1950 1950 1965 1950 1905 1830 1935 1935 1950 1965 1860 1695 1845 1845,18,nvml,False,high,True,,1470.0,505.027,3201.0,False,11.59602589905262,38.63312426057421,355.28736013174057,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1920 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
0.5,0.4575037784902619,1,0,1,mixtral-8x7b,bf16,32,64,64,4,8,4,2,64,256,32,18,3,1.1172800064086914,1.093440055847168,0.017302278711815805,558,35.87979196839862,40.203604804144966,1.1190239787101746,1.1059520244598389,True,1897.5,1950.0,1860.0,1950 1800 1890 1890 1935 1935 1770 1770 1950 1965 1845 1905 1905 1935 1950 1800 1860 1860,18,nvml,False,high,True,,1470.0,501.626,3201.0,False,7.332417648285627,25.610315163331606,214.22111999988556,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1898 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T18:03:27+00:00,0.27.1,200.0
