duty_requested,duty_achieved,state_index,repeat,order_index,model,dtype,block_m,block_n,block_k,group_m,num_warps,num_stages,tiles,rows_per_expert,tokens,calls_per_burst,bursts,trials,ms_p50,ms_min,ms_stdev,samples,burst_ms,gap_ms,head_ms,tail_ms,within_burst_ok,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,clock_samples,clock_source,clock_level_ok,clock_level_side,clock_drift_ok,clock_drift_direction,reference_clock_mhz,power_w,mem_clock_mhz,host_bound,host_enqueue_ms,host_backlog_iters,warmup_ms,l2_flush,status,detail,instrument,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
1.0,0.9152862417589303,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,1,32,128,53,18,3,0.7719840109348297,0.7561600208282471,0.005017754106548784,936,41.00795729955038,0.0,0.7723679840564728,0.7713119983673096,True,1500.0,1500.0,1500.0,1500 1500 1500 1500 1515 1515 1515 1470 1470 1485 1485 1545 1545 1470 1470 1500 1500 1500,18,nvml,True,,True,,1470.0,697.224,3201.0,False,11.458308901637793,39.294860508985984,203.75651156902313,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.9483471339961748,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,2,64,256,32,18,3,1.3135200142860413,1.2717440128326416,0.01915264248325291,558,42.15811550617218,0.0,1.3146239519119263,1.3136480450630188,True,1650.0,1695.0,1590.0,1695 1650 1650 1635 1635 1650 1650 1650 1650 1650 1635 1635 1650 1650 1695 1695 1590 1590,18,nvml,False,high,False,dropping,1470.0,693.6225,3201.0,False,6.920958869159222,26.893104593165937,250.74460804462433,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1650 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.; DRIFT failed, dropping: 1695 -> 1590 MHz over 18 bursts; this cell is EXCLUDED","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.9644857334051894,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,3,96,384,21,18,3,1.9641119837760925,1.919711947441101,0.02678868619927932,360,41.42725513378779,0.0,1.9669280052185059,1.9650560021400452,True,1635.0,1665.0,1605.0,1665 1665 1665 1650 1650 1650 1650 1605 1605 1605 1635 1635 1620 1620 1635 1635 1635 1605,18,nvml,False,high,True,,1470.0,697.3385000000001,3201.0,False,4.601907450705767,18.701697330188704,202.14886462688446,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1635 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.970921031610827,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,4,128,512,16,18,3,2.4357759952545166,2.365567922592163,0.030858499332092663,270,38.92641231748793,0.0,2.426624059677124,2.437183976173401,True,1725.0,1725.0,1695.0,1725 1725 1725 1725 1725 1710 1710 1725 1725 1725 1740 1740 1725 1725 1725 1755 1755 1695,18,nvml,False,high,True,,1470.0,691.338,3201.0,False,3.5618715919554234,14.533984757066717,228.55935978889465,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1725 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.9772568730331253,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,5,160,640,13,18,3,3.186768054962158,3.0910398960113525,0.040859791623910645,216,41.34927470154233,0.0,3.1862399578094482,3.1865919828414917,True,1650.0,1665.0,1635.0,1665 1665 1665 1665 1650 1650 1695 1695 1695 1650 1650 1650 1650 1635 1635 1635 1635 1635,18,nvml,False,high,True,,1470.0,693.227,3201.0,False,2.9234266839921474,12.056825130558597,204.75759959220886,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1650 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.9804087034565601,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,6,192,768,11,18,3,3.7100319862365723,3.6647040843963623,0.03369870904361393,180,41.05880538622538,0.0,3.7190080285072327,3.7243599891662598,True,1695.0,1695.0,1680.0,1695 1695 1710 1710 1710 1695 1695 1680 1680 1695 1695 1695 1695 1695 1680 1680 1680 1680,18,nvml,False,high,True,,1470.0,694.5,3201.0,False,2.480554860085249,10.32810629898877,204.33968019485474,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1695 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.9829840610695545,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,7,224,896,8,18,3,4.363744020462036,4.319839954376221,0.032751914721449525,126,35.059678077697754,0.0,4.3667519092559814,4.362815856933594,True,1680.0,1650.0,1680.0,1650 1665 1665 1680 1680 1680 1665 1665 1665 1680 1680 1680 1680 1680 1680 1650 1650 1680,18,nvml,False,high,True,,1470.0,693.297,3201.0,False,1.814497634768486,7.553387810367822,209.79436683654785,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1680 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
1.0,0.9845464356457188,0,0,0,mixtral-8x7b,bf16,32,64,64,4,8,4,8,256,1024,8,18,3,4.834080219268799,4.74451208114624,0.04125776966200627,126,38.72008363405863,0.0,4.836143970489502,4.833712100982666,True,1732.5,1710.0,1725.0,1710 1785 1785 1785 1710 1710 1740 1740 1740 1725 1725 1755 1755 1755 1725 1725 1725 1725,18,nvml,False,high,True,,1470.0,694.493,3201.0,False,1.82649539783597,7.610191654801492,232.40179300308228,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1732 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
0.7,0.6533164136428219,1,0,1,mixtral-8x7b,bf16,32,64,64,4,8,4,1,32,128,53,18,3,0.7429119944572449,0.7338240146636963,0.004416863086154654,936,39.49218312236998,17.154046649592264,0.7424159944057465,0.7425439953804016,True,1950.0,1890.0,1950.0,1890 1890 1950 1725 1725 1965 1965 1935 1950 1950 1965 1965 1890 1740 1740 1965 1965 1950,18,nvml,False,high,True,,1470.0,622.03,3201.0,False,11.454733554273844,38.84878633222528,278.0260479450226,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1950 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
0.7,0.6530625868701425,1,0,1,mixtral-8x7b,bf16,32,64,64,4,8,4,2,64,256,32,18,3,1.1410080194473267,1.1038399934768677,0.03259043651732742,558,36.910463988780975,17.240687692972056,1.1501439809799194,1.1375359892845154,True,1867.5,1740.0,1875.0,1740 1860 1860 1920 1920 1905 1905 1860 1815 1815 1905 1905 1935 1935 1860 1860 1650 1875,18,nvml,False,high,False,oscillating,1470.0,625.546,3201.0,False,7.009894587099552,25.516699234731657,220.23951971530914,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1868 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.; DRIFT failed, oscillating: 1740 -> 1875 MHz over 18 bursts; this cell is EXCLUDED","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:41:19+00:00,0.27.1,200.0
