duty_requested,duty_achieved,state_index,repeat,order_index,model,dtype,block_m,block_n,block_k,group_m,num_warps,num_stages,tiles,rows_per_expert,tokens,calls_per_burst,bursts,trials,ms_p50,ms_min,ms_stdev,samples,burst_ms,gap_ms,head_ms,tail_ms,within_burst_ok,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,clock_samples,clock_source,clock_level_ok,clock_level_side,clock_drift_ok,clock_drift_direction,reference_clock_mhz,power_w,mem_clock_mhz,host_bound,host_enqueue_ms,host_backlog_iters,warmup_ms,l2_flush,status,detail,instrument,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
1.0,0.9146602383964079,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,1,32,128,53,18,3,0.7644479870796204,0.7465919852256775,0.008910453374293055,936,40.643678257862724,0.0,0.7661600112915039,0.7637600004673004,True,1492.5,1500.0,1500.0,1500 1500 1575 1575 1590 1590 1590 1485 1485 1455 1455 1470 1470 1455 1455 1455 1500 1500,18,nvml,True,,True,,1470.0,694.7139999999999,3201.0,False,11.644591111689806,38.813026471523386,204.207200050354,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.9531506827687294,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,2,64,256,28,18,3,1.4714879989624023,1.448799967765808,0.011105871391935918,486,41.34638049867418,0.0,1.47079998254776,1.4716000258922577,True,1485.0,1500.0,1485.0,1500 1500 1500 1485 1485 1485 1485 1485 1470 1470 1455 1455 1485 1485 1485 1485 1485 1485,18,nvml,True,,True,,1470.0,696.651,3201.0,False,6.186252925544977,23.947601233127,245.16326463222504,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.9675518422694688,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,3,96,384,19,18,3,2.1850719451904297,2.1744959354400635,0.016858656583247967,324,41.716812358962166,0.0,2.1861119270324707,2.186143934726715,True,1477.5,1500.0,1440.0,1500 1500 1500 1500 1500 1485 1485 1485 1485 1455 1455 1455 1470 1470 1455 1455 1440 1440,18,nvml,True,,True,,1470.0,697.7525,3201.0,False,4.211390856653452,17.1061087751327,247.47699236869812,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.9750636737038325,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,4,128,512,13,18,3,2.9222559928894043,2.87174391746521,0.021128201680949466,216,37.91296180089315,0.0,2.922991991043091,2.922320008277893,True,1455.0,1485.0,1455.0,1485 1485 1470 1470 1470 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455,18,nvml,True,,True,,1470.0,696.459,3201.0,False,2.9573016799986362,11.989271484245867,223.71267199516296,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.97967685570626,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,5,160,640,11,18,3,3.638543963432312,3.574143886566162,0.03515738519883867,180,39.92392343944974,0.0,3.6398719549179077,3.6413919925689697,True,1462.5,1470.0,1470.0,1470 1470 1470 1470 1470 1455 1455 1470 1470 1470 1440 1440 1440 1440 1440 1455 1455 1470,18,nvml,True,,True,,1470.0,694.121,3201.0,False,2.5236783549189568,10.284868222311315,277.3035202026367,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.9827306309635652,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,6,192,768,9,18,3,4.354640007019043,4.281951904296875,0.036941655388649706,144,39.162615087297226,0.0,4.355624079704285,4.354320049285889,True,1455.0,1470.0,1440.0,1470 1470 1470 1455 1455 1455 1455 1455 1470 1470 1470 1440 1440 1455 1455 1455 1440 1440,18,nvml,True,,True,,1470.0,694.665,3201.0,False,2.085374668240547,8.50611319329329,232.89225673675537,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.9850475279748891,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,7,224,896,8,18,3,5.070271968841553,4.9817280769348145,0.05059348841249259,126,40.47697591781616,0.0,5.071599960327148,5.070271968841553,True,1455.0,1485.0,1455.0,1485 1485 1485 1470 1470 1455 1455 1485 1485 1485 1440 1440 1440 1440 1440 1455 1455 1455,18,nvml,True,,True,,1470.0,694.616,3201.0,False,1.8437965773046017,7.623934952522268,200.31580924987793,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
1.0,0.9868047277093966,0,0,0,mixtral-8x7b,bf16,32,64,64,1,8,4,8,256,1024,8,15,3,5.790304183959961,5.686751842498779,0.050166707548099314,105,46.37864529291789,0.0,5.789599895477295,5.790624141693115,True,1455.0,1470.0,1440.0,1470 1470 1455 1455 1455 1455 1470 1470 1455 1455 1440 1440 1440 1440 1440,15,nvml,True,,True,,1470.0,694.35,3201.0,False,1.869790256023407,7.658624704819298,274.3772792816162,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
0.7,0.6537220208920667,1,0,1,mixtral-8x7b,bf16,32,64,64,1,8,4,1,32,128,53,18,3,0.7421599924564362,0.7286400198936462,0.004987199895365004,936,39.434346699052384,17.077072608470917,0.7447039783000946,0.7423039972782135,True,1822.5,1860.0,1770.0,1860 1860 1875 1755 1755 1965 1965 1830 1620 1620 1815 1815 1920 1665 1665 1965 1965 1770,18,nvml,False,high,True,,1470.0,650.765,3201.0,False,11.526595335453749,38.68131537010263,236.06342393159866,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1822 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
0.7,0.6658088805726096,1,0,1,mixtral-8x7b,bf16,32,64,64,1,8,4,2,64,256,28,18,3,1.3506560325622559,1.3300479650497437,0.014878808837901297,486,38.014261305332184,17.021952241659164,1.3541840016841888,1.3499360382556915,True,1830.0,1875.0,1860.0,1875 1725 1725 1860 1860 1830 1830 1875 1770 1770 1875 1875 1830 1830 1890 1770 1770 1860,18,nvml,False,high,True,,1470.0,634.215,3201.0,False,6.179274991154671,23.419231657145954,228.60428845882416,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1830 MHz against the 1470 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,33d28339d8e211bd7fb8caf92bd340b82ae40abb,NVIDIA H200,421a523e82cb,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-23T17:26:37+00:00,0.27.1,200.0
