G	seed	ratio	lo	hi	exit	exit_scope	duty	run_id	rep_n	rep_spread	rep_sd	env_lo	env_hi	joint	clk_native	clk_shared	clk_private	low_cells	eta	eta_lo	eta_hi	band	eta_exit
1	0	0.9148	0.9144	0.9154	CLAIM_FAIL	alone	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g1-l2flushtrue-modelmixtral_8x7b-n64-pl-4efa4954	none	none	none	none	none	none	1950	1950	1950	0	0.3970	0.3873	0.4066	STRADDLES	CLAIM_FAIL
1	1	0.9148	0.9147	0.9151	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g1-l2flushtrue-modelmixtral_8x7b-n64-pl-79e04e7b	2	0.0001	none	0.9144	0.9154	FAIL	1950	1950	1950	0	0.3970	0.3873	0.4066	STRADDLES	CLAIM_FAIL
1	2	0.9154	0.9149	0.9156	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g1-l2flushtrue-modelmixtral_8x7b-n64-pl-b9dc6fa8	3	0.0006	0.0003	0.9144	0.9156	FAIL	1950	1950	1950	0	0.3970	0.3873	0.4066	STRADDLES	CLAIM_FAIL
4	0	0.7041	0.7040	0.7043	CLAIM_FAIL	alone	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g4-l2flushtrue-modelmixtral_8x7b-n64-pl-3312808f	none	none	none	none	none	none	1965	1965	1950	0	1.1291	1.0683	1.2004	CLOCK-CARRIES	CLAIM_FAIL
4	1	0.7040	0.7033	0.7088	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g4-l2flushtrue-modelmixtral_8x7b-n64-pl-113a7fd9	2	0.0002	none	0.7033	0.7088	FAIL	1965	1965	1950	0	1.1291	1.0683	1.2004	CLOCK-CARRIES	CLAIM_FAIL
4	2	0.7087	0.7040	0.7090	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g4-l2flushtrue-modelmixtral_8x7b-n64-pl-b7072d03	3	0.0047	0.0027	0.7033	0.7090	FAIL	1965	1965	1950	0	1.1291	1.0683	1.2004	CLOCK-CARRIES	CLAIM_FAIL
16	0	0.6839	0.6819	0.6846	CLAIM_FAIL	alone	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g16-l2flushtrue-modelmixtral_8x7b-n64-p-0765bc04	none	none	none	none	none	none	1965	1965	1950	0	1.1384	1.0930	1.2749	withheld:INVALID	INVALID
16	1	0.6776	0.6767	0.6782	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g16-l2flushtrue-modelmixtral_8x7b-n64-p-b30d72b4	2	0.0063	none	0.6767	0.6846	FAIL	1965	1965	1950	0	1.1384	1.0930	1.2749	withheld:INVALID	INVALID
16	2	0.6794	0.6772	0.6822	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g16-l2flushtrue-modelmixtral_8x7b-n64-p-87269597	3	0.0063	0.0032	0.6767	0.6846	FAIL	1965	1965	1950	0	1.1384	1.0930	1.2749	withheld:INVALID	INVALID
64	0	0.6172	0.6128	0.6193	CLAIM_FAIL	alone	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g64-l2flushtrue-modelmixtral_8x7b-n64-p-46f8f227	none	none	none	none	none	none	1965	1965	1965	0	1.1220	1.0373	1.2124	CLOCK-CARRIES	CLAIM_FAIL
64	1	0.6150	0.6131	0.6190	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g64-l2flushtrue-modelmixtral_8x7b-n64-p-e8dad7f3	2	0.0022	none	0.6128	0.6193	FAIL	1965	1965	1965	0	1.1220	1.0373	1.2124	CLOCK-CARRIES	CLAIM_FAIL
64	2	0.6188	0.6186	0.6192	CLAIM_FAIL	envelope	0.25	nvidia_h200-bm32-budget200.0-declauto-dtypebf16-duty0.25-g64-l2flushtrue-modelmixtral_8x7b-n64-p-b150346d	3	0.0038	0.0019	0.6128	0.6193	FAIL	1965	1965	1965	0	1.1220	1.0373	1.2124	CLOCK-CARRIES	CLAIM_FAIL
