duty_requested,duty_achieved,state_index,repeat,order_index,model,dtype,block_m,block_n,block_k,group_m,num_warps,num_stages,tiles,rows_per_expert,tokens,calls_per_burst,bursts,trials,ms_p50,ms_min,ms_stdev,samples,burst_ms,gap_ms,head_ms,tail_ms,within_burst_ok,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,clock_samples,clock_source,clock_level_ok,clock_level_side,clock_drift_ok,clock_drift_direction,reference_clock_mhz,power_w,mem_clock_mhz,host_bound,host_enqueue_ms,host_backlog_iters,warmup_ms,l2_flush,status,detail,instrument,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
1.0,0.9149167011866192,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,1,32,128,53,18,3,0.7686239778995514,0.754751980304718,0.00745446998407519,936,40.87632355093956,0.0,0.7706240117549896,0.7684319913387299,True,1500.0,1500.0,1485.0,1500 1500 1500 1500 1500 1560 1560 1485 1485 1515 1515 1515 1500 1500 1500 1500 1485 1485,18,nvml,True,,True,,1455.0,695.646,3201.0,False,11.464568320661783,38.62918575792247,245.21984034776688,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.948249741404271,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,2,64,256,32,18,3,1.3127359747886658,1.2851519584655762,0.012597690932612796,558,42.14817249112659,0.0,1.3179680109024048,1.312287986278534,True,1635.0,1665.0,1635.0,1665 1665 1680 1680 1635 1635 1635 1635 1635 1650 1650 1635 1635 1635 1635 1635 1635 1635,18,nvml,False,high,True,,1455.0,696.0025,3201.0,False,6.909194402396679,24.2076539883127,209.08201587200165,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1635 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.9660496639688793,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,3,96,384,20,18,3,2.0813279151916504,2.021440029144287,0.017323484736354405,342,41.6097776889801,0.0,2.083240032196045,2.082543969154358,True,1545.0,1530.0,1575.0,1530 1530 1530 1545 1545 1545 1545 1545 1515 1515 1560 1560 1560 1560 1560 1530 1530 1575,18,nvml,False,high,True,,1455.0,693.6210000000001,3201.0,False,4.409571178257465,17.917643735696192,247.34028828144073,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1545 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.9726936454040971,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,4,128,512,16,18,3,2.6134400367736816,2.581023931503296,0.017070646311440656,270,41.8898329337438,0.0,2.6132479906082153,2.613503932952881,True,1620.0,1620.0,1590.0,1620 1620 1620 1620 1620 1620 1620 1635 1635 1620 1620 1620 1635 1635 1620 1620 1590 1590,18,nvml,False,high,True,,1455.0,694.06,3201.0,False,3.605607897043228,13.30330523291443,249.7148163318634,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1620 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.9786159506252828,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,5,160,640,13,18,3,3.4084479808807373,3.338655948638916,0.026497848428279902,216,44.31437685754564,0.0,3.411631941795349,3.392911911010742,True,1530.0,1545.0,1530.0,1545 1545 1545 1545 1530 1530 1530 1530 1530 1545 1545 1515 1515 1545 1545 1530 1530 1530,18,nvml,True,,True,,1455.0,693.965,3201.0,False,2.9355017468333244,11.470265802233993,220.23503971099854,True,ok,,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.9813770087206315,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,6,192,768,11,18,3,3.922047972679138,3.855072021484375,0.0587771838685409,180,43.33531913492415,0.0,3.9124879837036133,3.9206640124320984,True,1582.5,1545.0,1560.0,1545 1545 1545 1545 1545 1635 1635 1590 1590 1620 1620 1620 1635 1635 1575 1575 1560 1560,18,nvml,False,high,True,,1455.0,694.613,3201.0,False,2.4862526915967464,10.361410427549135,258.67219161987305,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1582 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.9839865453980401,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,7,224,896,8,18,3,4.650911808013916,4.556640148162842,0.0962737074446834,126,37.512552976608276,0.0,4.698304176330566,4.666911840438843,True,1590.0,1485.0,1590.0,1485 1485 1485 1485 1485 1620 1620 1590 1590 1590 1590 1590 1590 1485 1485 1590 1590 1590,18,nvml,False,high,False,settling upward,1455.0,694.467,3201.0,False,1.8142443150281906,7.553288776611661,227.10793590545654,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1590 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.; DRIFT failed, settling upward: 1485 -> 1590 MHz over 18 bursts; this cell is EXCLUDED","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
1.0,0.9856553760999862,0,0,0,mixtral-8x7b,bf16,32,64,64,2,8,4,8,256,1024,8,18,3,5.2498719692230225,5.126495838165283,0.05911707816736834,126,42.115301344129776,0.0,5.280479907989502,5.26033616065979,True,1590.0,1620.0,1590.0,1620 1620 1560 1560 1575 1575 1575 1575 1575 1590 1590 1590 1590 1590 1605 1605 1590 1590,18,nvml,False,high,True,,1455.0,695.2384999999999,3201.0,False,1.8202676437795162,7.488581635843296,207.68572807312012,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1590 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
0.5,0.47206439188547855,1,0,1,mixtral-8x7b,bf16,32,64,64,2,8,4,1,32,128,53,18,3,0.7407039999961853,0.729856014251709,0.004546496352286464,936,39.37638223171234,40.22080960472425,0.7406879961490631,0.7407200038433075,True,1942.5,1965.0,1860.0,1965 1950 1950 1605 1905 1905 1935 1950 1875 1950 1965 1965 1965 1950 1890 1710 1860 1860,18,nvml,False,high,False,dropping,1455.0,493.709,3201.0,False,11.481545865535736,36.390390063629084,275.97145533561707,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1942 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.; DRIFT failed, dropping: 1965 -> 1860 MHz over 18 bursts; this cell is EXCLUDED","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
0.5,0.4601940655437858,1,0,1,mixtral-8x7b,bf16,32,64,64,2,8,4,2,64,256,32,18,3,1.1133599877357483,1.0938559770584106,0.017464183725954062,558,35.89751287963655,39.75318908691406,1.116815984249115,1.1130720376968384,True,1897.5,1860.0,1890.0,1860 1905 1935 1950 1950 1860 1950 1815 1890 1890 1920 1950 1800 1800 1935 1965 1845 1890,18,nvml,False,high,True,,1455.0,496.144,3201.0,False,7.2554172948002815,21.309829971607424,324.39036893844604,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1898 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.","scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,,13.0,580.159.04,True,1,c09b35357c7d0a7bd921c4ff1a11c5229f795407,NVIDIA H200,1cdbd6a71870,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",,bandwidth=not supplied by caller; bandwidth_source=not supplied by caller; iters=not supplied by caller; ridge=not supplied by caller; ridge_source=not supplied by caller; sglang=package not installed,1,3.12.3,,,,200.0,2.13.0,3.7.1,2026-09-24T04:43:36+00:00,0.27.1,200.0
