arm,repeat,block_m,tiles,rows_per_expert,tokens,copies,experts_declared,ms_p50,ms_min,ms_stdev,iters,trials,warmup_ms,instrument,sm_clock_load_mhz,clock_level_ok,clock_level_side,clock_drift_ok,l2_flush,status,detail,duty,power_w,duty_achieved,calls_per_burst,gap_ms,gap_basis,head_ms,tail_ms,within_burst_ok,clock_samples_mhz,host_bound,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
native,0,32,1,32,128,1,8,0.8453920185565948,0.8327680230140686,0.0035605308161878557,230,3,319.51071989536285,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1965.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1965 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,287.409,0.2498919627811897,47,115.98664468596873,burst,0.8450239896774292,0.845695972442627,True,1965 1965 1965 1935 1965 1965 1980 1965 1965 1965 1965 1965 1965 1965 1965,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
shared,0,32,1,32,128,1,72,0.8442080020904541,0.8345280289649963,0.0036302200794149472,230,3,319.3534397482872,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1965.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1965 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,283.452,0.249898840137098,47,115.75589108814167,burst,0.8438079953193665,0.8444160223007202,True,1935 1965 1965 1950 1965 1920 1965 1965 1965 1965 1935 1965 1890 1950 1965,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
private,0,32,1,32,128,1,72,0.8443680107593536,0.8369280099868774,0.0035592415847210414,230,3,319.05654406547546,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1965.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1965 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,285.661,0.24989257691291666,47,115.780723975211,burst,0.843392014503479,0.8441280126571655,True,1965 1965 1965 1965 1935 1950 1965 1965 1965 1965 1965 1965 1965 1965 1920,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
native,0,32,2,64,256,1,8,1.4690239429473877,1.4519360065460205,0.008578987628122321,125,3,655.1181762218475,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1950.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1950 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,309.174,0.24989344234620517,26,112.94367142684497,burst,1.4683199524879456,1.4702240228652954,True,1965 1950 1905 1950 1965 1950 1800 1920 1860 1935 1965 1950 1965 1860 1950,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
shared,0,32,2,64,256,1,72,1.4540799856185913,1.4374719858169556,0.009939937620274408,125,3,306.8659842014313,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1935.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1935 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,310.74,0.2498909696042014,26,111.87071633099369,burst,1.4535680413246155,1.457264006137848,True,1950 1905 1950 1920 1890 1770 1965 1785 1905 1965 1965 1860 1935 1965 1935,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
private,0,32,2,64,256,2,72,1.6403520107269287,1.6304320096969604,0.004715967493738188,115,3,435.69196796417236,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1965.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1965 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,288.056,0.24989469576903436,24,116.65393434940596,burst,1.6412479877471924,1.6409920454025269,True,1965 1965 1965 1965 1935 1965 1920 1920 1965 1935 1965 1965 1950 1965 1965,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
native,0,32,3,96,384,1,8,2.182031989097595,2.170367956161499,0.010346287641168317,80,3,300.1615035533905,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1950.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1950 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,306.216,0.24988531144697346,17,110.52190074733333,burst,2.1813119649887085,2.182063937187195,True,1965 1920 1950 1920 1950 1920 1950 1890 1965 1890 1950 1875 1965 1965 1950,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
shared,0,32,3,96,384,1,72,2.1776320934295654,2.1649279594421387,0.012695281133626439,85,3,396.14963245391846,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1950.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1950 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,296.961,0.2498973058967081,18,116.75458023527064,burst,2.175711989402771,2.1796000003814697,True,1965 1965 1860 1905 1965 1950 1965 1935 1950 1875 1950 1965 1950 1965 1935,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
private,0,32,3,96,384,3,72,2.436863899230957,2.4261438846588135,0.0041623852791152025,75,3,431.1959054470062,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1965.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1965 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,288.509,0.2498939333970779,16,116.17343195103238,burst,2.4370880126953125,2.4372479915618896,True,1965 1965 1950 1965 1920 1950 1965 1935 1965 1935 1965 1890 1950 1965 1965,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
native,0,32,4,128,512,1,8,2.8838560581207275,2.867295980453491,0.01713636576837184,60,3,416.62044763565063,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS",1950.0,False,high,True,True,ok,"LEVEL HIGH (recorded, never an exclusion here): loaded clock 1950 MHz against the 1455 MHz reference. At a duty cycle below 1.0 a HIGH reading is the experiment working, not a cell to drop.",0.25,302.469,0.24989346927484135,13,111.98561123263062,burst,2.8838400840759277,2.8823039531707764,True,1965 1920 1965 1935 1965 1920 1965 1935 1965 1950 1860 1950 1965 1875 1965,False,3725.122836206298,"measured on this device: NVIDIA GH200 480GB (measured), 3725.1 GB/s (triad pattern)",13.0,580.105.08,True,1,f49a2133c942c20c3b1b72e002b03af1ccd216a3,NVIDIA GH200 480GB,192-222-57-200,"scripts/clock_elasticity.py: bursts of N back-to-back fused_experts calls under one pinned tile, each call L2-flushed and bracketed by its own pre-primed event pair, the FIRST call of every burst discarded as a drained-queue launch, a host-side idle gap after each burst setting the sustained duty cycle, and the SM clock, board power and memory clock read through NVML with the burst still in flight; NOT timing.TIMING_BASIS | duty 0.25 | each idle gap sized from its own burst (gap_basis burst)",,iters=supplied as None; sglang=package not installed,1,3.12.14,177.93141728460498,"measured on this device: NVIDIA GH200 480GB (measured), 662.8 TFLOP/s bf16 over 3725.1 GB/s (triad pattern); calibrated 2026-09-25 at f49a2133",,200.0,2.13.0,3.7.1,2026-09-25T07:15:15+00:00,0.27.1,300.0
